BirdID,File,Month,Day,Year,date,ElapsedTime_sec,Time_hours,WVP_kPa,VCO2_dPerc,ChamberTemp_C,AmbientTemp_C,BP_kPa,VO2_dPerc,VO2_ml_min
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,222.2575,20.86396,1.69782,0.29374,21.91826,20.77312,101.0626,0.34624,3.63429
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,222.5075,20.86403,1.70453,0.29226,21.99615,20.73939,101.1021,0.34254,3.59561
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,222.7575,20.8641,1.69896,0.29708,21.9508,20.68801,101.1184,0.34836,3.65651
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,223.0075,20.86417,1.69834,0.29284,21.86021,20.73001,101.0697,0.34453,3.61646
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,223.2575,20.86424,1.70147,0.28777,21.94418,20.74196,101.07470000000001,0.34543,3.62585
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,223.5075,20.86431,1.70538,0.29424,21.99437,20.74646,101.0985,0.34236,3.59381
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,223.7575,20.86438,1.70335,0.29339,22.00687,20.6506,101.0994,0.34508,3.62223
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,224.0075,20.86445,1.69895,0.29559,21.98384,20.70999,101.12,0.35067,3.68057
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,224.2575,20.86452,1.70005,0.2909,21.97057,20.72725,101.0709,0.34326,3.60319
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,224.5076,20.86459,1.70216,0.29279,21.98876,20.66098,101.1326,0.34561,3.62773
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,224.7576,20.86465,1.69861,0.29389,21.98911,20.66985,101.1211,0.34666,3.63865
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,225.0076,20.86472,1.6979,0.29141,21.94547,20.71484,101.0791,0.34546,3.62612
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,225.2576,20.86479,1.7028,0.28966,21.99713,20.70547,101.0841,0.33948,3.56362
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,225.5076,20.86486,1.7025,0.29198,22.00542,20.63323,101.1089,0.34549,3.62647
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,225.7576,20.86493,1.69947,0.29234,21.93729,20.73736,101.1312,0.34674,3.63954
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,226.0076,20.865,1.70042,0.29049,21.87396,20.75878,101.0323,0.34711,3.64337
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,226.2576,20.86507,1.7016,0.28984,21.95923,20.73187,101.0891,0.34248,3.59506
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,226.5076,20.86514,1.70535,0.2927,21.95559,20.63847,101.1318,0.34457,3.61684
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,226.7576,20.86521,1.69683,0.29211,21.88665,20.69803,101.1089,0.34611,3.63292
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,227.0076,20.86528,1.69925,0.29027,21.91059,20.72581,101.0697,0.34699,3.64219
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,227.2576,20.86535,1.70494,0.29068,21.95246,20.66402,101.095,0.34724,3.64477
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,227.5076,20.86542,1.70204,0.29018,21.94556,20.59821,101.1118,0.34804,3.65316
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,227.7577,20.86549,1.69868,0.29418,21.87935,20.70306,101.1383,0.35041,3.67793
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,228.0077,20.86556,1.70149,0.2877,21.86541,20.74545,101.0474,0.34437,3.61482
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,228.2577,20.86563,1.7038,0.28904,21.99437,20.70924,101.1048,0.34446,3.61567
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,228.5077,20.8657,1.70118,0.29074,21.91509,20.69095,101.0956,0.34834,3.65621
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,228.7577,20.86577,1.69974,0.29002,21.88297,20.71475,101.1045,0.34873,3.66037
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,229.0077,20.86584,1.69825,0.28888,21.880490000000002,20.7381,101.0716,0.3506,3.6799
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,229.2577,20.8659,1.70104,0.28793,21.82415,20.72542,101.0903,0.34698,3.64205
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,229.5077,20.86597,1.70052,0.28909,21.90825,20.62825,101.1194,0.34835,3.65633
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,229.7577,20.86604,1.69796,0.29091,21.84143,20.68645,101.1094,0.34903,3.66345
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,230.0077,20.86611,1.69791,0.29063,21.80448,20.7279,101.0558,0.34715,3.6438
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,230.2577,20.86618,1.70153,0.29023,21.95737,20.68587,101.1186,0.34772,3.64982
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,230.5078,20.86625,1.69905,0.29092,21.80668,20.68222,101.1146,0.35184,3.69281
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,230.7578,20.86632,1.69719,0.29071,21.80639,20.73597,101.0877,0.34519,3.62337
CAAN14,CAAN14_0720_2123_analyzed,7,20,2021,7/20/2021,231.0078,20.86639,1.70219,0.28828,21.90255,20.6199,101.1051,0.34667,3.63877
